id,host_since,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,room_type,bathrooms,bedrooms,beds,price,availability_365,estimated_occupancy_l365d,number_of_reviews_ly,last_review,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,geometry,AREA,zona_peuat,Reviews
1157625631289523456,2024,2,2,2,el Carmel,Horta-Guinardó,Entire home/apt,1,2,2,45,178,192,3,2024-12-04,5,4.67,5,4.33,4.67,"c(429581.454315496, 4585917.67525363)",850.437775277,3,1
1157642085592889856,2024,2,2,2,el Carmel,Horta-Guinardó,Entire home/apt,1,2,0,49,92,255,3,2024-10-19,4.67,5,5,4.67,4.67,"c(429454.989017533, 4585766.55428162)",850.437775277,3,1
1157724774475441408,2023,1,2,2,el Baix Guinardó,Horta-Guinardó,Private room,2,1,1,28,219,0,0,NA,NA,NA,NA,NA,NA,"c(430271.123165566, 4584859.30673502)",1334.33646724,2,0
1157729922600201472,2023,1,2,2,el Baix Guinardó,Horta-Guinardó,Private room,NA,1,NA,NA,261,0,0,NA,NA,NA,NA,NA,NA,"c(430164.78904959, 4584667.14087265)",1334.33646724,2,0
1157739503758126336,2023,1,2,2,Can Baró,Horta-Guinardó,Private room,1,1,1,24,159,0,0,NA,NA,NA,NA,NA,NA,"c(429920.924199864, 4585120.27680794)",850.437775277,3,0
1157745485700221696,2023,1,2,2,el Baix Guinardó,Horta-Guinardó,Private room,1,1,1,24,97,0,0,NA,NA,NA,NA,NA,NA,"c(430099.184657661, 4585028.84263022)",1334.33646724,2,0
1152636842978651392,2020,1,2,2,Sants,Sants-Montjuïc,Entire home/apt,2,3,3,116,279,0,0,NA,NA,NA,NA,NA,NA,"c(427583.65784622, 4581373.95573352)",1334.33646724,2,0
1152650980304201216,2016,1,2,2,la Sagrada Família,Eixample,Entire home/apt,1,1,2,99,141,8,0,2025-03-06,4,4,5,5,4,"c(431069.753636951, 4583760.24375094)",1334.33646724,2,0
1152724920113615232,2015,1,2,2,la Dreta de l'Eixample,Eixample,Entire home/apt,1,2,4,193,291,186,22,2025-02-24,4.71,4.45,4.42,4.61,4.39,"c(431043.762334727, 4583172.83139115)",1316.17983204,1,1
1152726065534773248,2013,1,2,2,el Raval,Ciutat Vella,Entire home/apt,1,2,2,95,338,0,0,NA,NA,NA,NA,NA,NA,"c(430419.036612683, 4580939.67501162)",1316.17983204,1,0
1152738636962621696,2018,1,2,2,la Dreta de l'Eixample,Eixample,Private room,0,1,1,34,1,0,0,NA,NA,NA,NA,NA,NA,"c(430622.61175345, 4583683.46285467)",1316.17983204,1,0
1152835078545217536,2020,1,2,2,Sant Antoni,Eixample,Entire home/apt,2,2,2,79,148,0,0,NA,NA,NA,NA,NA,NA,"c(429809.325699221, 4581242.48621337)",1316.17983204,1,0
1152850072213069056,2020,1,2,1,la Barceloneta,Ciutat Vella,Entire home/apt,1,1,1,NA,0,192,2,2025-02-12,3.67,5,4,5,4.67,"c(432242.108889867, 4580971.90844734)",1316.17983204,1,1
1152870452935947008,2020,1,2,2,Sant Antoni,Eixample,Entire home/apt,1,2,3,NA,147,0,0,NA,NA,NA,NA,NA,NA,"c(429869.684106106, 4581246.6531885)",1316.17983204,1,0
1152990115537897472,2011,1,2,2,la Sagrada Família,Eixample,Entire home/apt,4,8,12,1670,270,0,0,NA,NA,NA,NA,NA,NA,"c(430964.717526993, 4583878.93493946)",1334.33646724,2,0
1153461890530183936,2020,1,2,2,Sant Antoni,Eixample,Entire home/apt,2,2,2,106,268,0,0,NA,NA,NA,NA,NA,NA,"c(429831.410827559, 4581315.06602393)",1334.33646724,2,0
1153476788468422656,2017,1,2,2,el Baix Guinardó,Horta-Guinardó,Entire home/apt,2,4,4,243,332,96,15,2025-02-27,4.19,4.56,4.06,4.75,3.94,"c(430890.030858154, 4584724.57769948)",1334.33646724,2,1
1157750264556605952,2023,1,2,2,el Baix Guinardó,Horta-Guinardó,Private room,1,1,1,32,219,0,0,NA,NA,NA,NA,NA,NA,"c(430100.233182428, 4585030.05711136)",1334.33646724,2,0
1157784646721458944,2023,1,2,2,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,Private room,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"c(427771.617050822, 4583709.75031529)",1092.73224987,3,0
1157789657547374336,2021,2,2,2,la Marina del Prat Vermell,Sants-Montjuïc,Private room,1,1,1,79,88,255,42,2025-03-07,4.8,4.61,4.73,4.45,4.66,"c(428344.797586635, 4578040.13902894)",75.7731510397,4,1
1157790098531880192,2023,1,2,2,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,Private room,2,1,1,33,175,0,0,NA,NA,NA,NA,NA,NA,"c(427909.512851475, 4583570.98169737)",1334.33646724,2,0
1157796692286433536,2023,1,2,2,la Dreta de l'Eixample,Eixample,Private room,2,1,1,32,154,0,0,NA,NA,NA,NA,NA,NA,"c(430572.653120507, 4583006.66545905)",1316.17983204,1,0
1157801502245829632,2023,1,2,2,la Dreta de l'Eixample,Eixample,Private room,2,1,1,30,139,0,0,NA,NA,NA,NA,NA,NA,"c(430578.986716106, 4583159.77450738)",1316.17983204,1,0
1157808788649455104,2023,1,2,2,la Dreta de l'Eixample,Eixample,Private room,0,1,1,33,215,0,0,NA,NA,NA,NA,NA,NA,"c(430285.58380939, 4583609.61173167)",1316.17983204,1,0
1157875388835811584,2012,2,2,2,la Nova Esquerra de l'Eixample,Eixample,Entire home/apt,2,3,5,207,296,252,32,2025-02-19,4.93,4.62,4.81,4.76,4.71,"c(428905.936991786, 4581000.81287147)",1334.33646724,2,1
1157920067662137344,2011,2,2,2,l'Antiga Esquerra de l'Eixample,Eixample,Entire home/apt,2,3,0,164,143,192,3,2024-12-03,5,5,5,5,5,"c(429769.747425472, 4582202.32753863)",1316.17983204,1,1
1153547750228682752,2023,1,2,2,la Barceloneta,Ciutat Vella,Entire home/apt,2,2,2,90,182,192,3,2024-10-22,4.67,5,5,5,4,"c(432291.467222805, 4581205.13474182)",1316.17983204,1,1
1153551405694487808,2020,1,2,2,Sant Antoni,Eixample,Entire home/apt,0,2,2,123,292,0,0,NA,NA,NA,NA,NA,NA,"c(429950.184979374, 4581470.30955288)",1316.17983204,1,0
1161340533286776064,2023,1,2,2,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,Private room,2,1,1,30,0,0,0,NA,NA,NA,NA,NA,NA,"c(428169.071946458, 4583942.76831335)",1334.33646724,2,0
1161343461143747584,2023,1,2,2,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,Private room,2,1,1,33,167,0,0,NA,NA,NA,NA,NA,NA,"c(428183.831379409, 4583913.75416146)",1334.33646724,2,0
1161350489326842368,2022,1,2,2,la Sagrada Família,Eixample,Entire home/apt,2,2,4,207,0,30,4,2025-02-04,4.8,5,4.8,5,4.8,"c(431019.797829643, 4583622.65952785)",1334.33646724,2,1
1161355053678954240,2022,1,2,2,Sants,Sants-Montjuïc,Private room,2,1,1,40,202,102,15,2025-03-06,4.53,4.59,4.65,4.76,4.47,"c(427481.426438145, 4580392.30207008)",1334.33646724,2,1
1161402071338500352,2023,1,2,2,la Nova Esquerra de l'Eixample,Eixample,Private room,2,1,1,35,189,0,0,NA,NA,NA,NA,NA,NA,"c(429210.329355731, 4581315.60365978)",1334.33646724,2,0
1161406690151717888,2023,1,2,2,el Raval,Ciutat Vella,Private room,2,1,1,29,158,0,0,NA,NA,NA,NA,NA,NA,"c(430582.564112258, 4581859.64377703)",1316.17983204,1,0
1157940083806394368,2023,1,2,2,el Raval,Ciutat Vella,Private room,1,1,1,44,308,132,15,2025-03-03,4.64,4.77,4.82,4.41,4.45,"c(430989.969505986, 4581088.54566815)",1316.17983204,1,1
1157973201240537088,2011,1,2,2,la Sagrada Família,Eixample,Entire home/apt,2,4,4,856,0,6,1,2024-06-03,5,4,4,5,5,"c(431026.667287416, 4584113.66539759)",1334.33646724,2,1
1158097615701882368,2016,1,2,2,la Salut,Gràcia,Private room,1,1,1,36,87,0,0,NA,NA,NA,NA,NA,NA,"c(429059.782738226, 4584598.15473332)",1334.33646724,2,0
1158328451584798208,2013,1,2,2,la Barceloneta,Ciutat Vella,Entire home/apt,0,0,1,58,236,180,24,2025-03-04,4.63,4.5,4.67,4.83,3.87,"c(432131.221616043, 4581328.69163661)",1316.17983204,1,1
1158400325837720832,2011,2,2,2,l'Antiga Esquerra de l'Eixample,Eixample,Entire home/apt,2,2,2,150,185,128,1,2025-02-06,5,5,5,5,4,"c(429622.890938751, 4582440.59615358)",1316.17983204,1,1
1158420058010307328,2011,2,2,2,l'Antiga Esquerra de l'Eixample,Eixample,Entire home/apt,2,3,0,115,149,192,2,2025-01-16,4.67,5,5,5,4.33,"c(429651.625510443, 4582177.28313237)",1316.17983204,1,1
1158429415915224064,2023,2,2,2,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Entire home/apt,2,3,3,120,118,128,1,2025-02-17,5,5,5,5,5,"c(431435.217879845, 4581832.65013131)",1316.17983204,1,1
1158434582420060928,2023,2,2,2,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Entire home/apt,1,2,2,120,180,128,1,2025-02-04,5,5,5,5,5,"c(431479.697216861, 4581958.00328373)",1316.17983204,1,1
1158437307781634816,2023,2,2,2,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Entire home/apt,2,3,3,131,1,124,1,2025-01-16,5,5,5,5,5,"c(431515.746770738, 4581857.63558507)",1316.17983204,1,1
1161412089287511552,2023,1,2,2,el Putxet i el Farró,Sarrià-Sant Gervasi,Private room,2,1,1,31,184,0,0,NA,NA,NA,NA,NA,NA,"c(428863.653869241, 4584018.07306493)",1334.33646724,2,0
